section,model_id,model_name,use_case,library_deps,hardware_profile,ram_usage_estimate,notes,notebook_path,colab_link,status
nlp,bert-base-uncased,BERT base uncased,Sentiment/IMDB baseline (CPU-first pipeline + LoRA TODO),"transformers,datasets,evaluate",CPU/GPU/MLX,<4GB,Fast CPU; great starter; add LoRA later; license review: Apache-2.0,nlp/nlp_notebooks/nlp-01-bert-base-uncased.ipynb,TODO,planned
nlp,sentence-transformers/all-MiniLM-L6-v2,all-MiniLM-L6-v2,Semantic search embeddings (vector DB ready),"sentence-transformers,transformers",CPU/GPU/MLX,<4GB,Good default for retrieval; multilingual alt available,nlp/nlp_notebooks/nlp-02-all-minilm-l6-v2.ipynb,TODO,planned
nlp,roberta-base,RoBERTa base,Sentiment on social reviews baseline,"transformers,datasets,evaluate",CPU/GPU/MLX,4–8GB,Solid base; add class weighting; license: MIT,nlp/nlp_notebooks/nlp-03-roberta-base.ipynb,TODO,planned
nlp,distilbert-base-uncased,DistilBERT base uncased,Real-time sentiment microservice,"transformers,datasets",CPU/GPU/MLX,<4GB,Great for quantization tests; low latency,nlp/nlp_notebooks/nlp-04-distilbert-base-uncased.ipynb,TODO,planned
nlp,deepset/roberta-base-squad2,RoBERTa QA SQuAD2,Extractive QA over policy docs,"transformers,datasets",CPU/GPU/MLX,4–8GB,Chunk long inputs; add citation spans,nlp/nlp_notebooks/nlp-05-roberta-qa-squad2.ipynb,TODO,planned
nlp,t5-small,T5 Small,Abstractive summarization quickstart,"transformers,datasets,evaluate",CPU/GPU/MLX,4–8GB,CPU okay with batch=1; add ROUGE eval,nlp/nlp_notebooks/nlp-06-t5-small.ipynb,TODO,planned
nlp,facebook/bart-base,BART base,News summarization baseline,"transformers,datasets,evaluate",CPU/GPU,8–16GB,Prefer GPU for beams; license: MIT,nlp/nlp_notebooks/nlp-07-bart-base.ipynb,TODO,planned
nlp,google/flan-t5-base,FLAN-T5 base,Instruction following snippets,transformers,CPU/GPU,8–16GB,Great with prompt templates; add safety note,nlp/nlp_notebooks/nlp-08-flan-t5-base.ipynb,TODO,planned
nlp,Helsinki-NLP/opus-mt-en-hi,OPUS-MT EN-HI,En↔Hi translation starter,transformers,CPU/GPU,4–8GB,Download tokenizer offline; quality mid-tier,nlp/nlp_notebooks/nlp-09-opus-mt-en-hi.ipynb,TODO,planned
nlp,facebook/mbart-large-50-many-to-many-mmt,mBART-50 M2M,Multilingual translation playground,transformers,CPU/GPU,8–16GB,Needs sentencepiece; license review: CC-BY-NC,nlp/nlp_notebooks/nlp-10-mbart-50-m2m.ipynb,TODO,planned
nlp,intfloat/e5-base-v2,E5 Base v2,Dense retrieval embedding pipeline,"transformers,datasets",CPU/GPU/MLX,4–8GB,Pair with FAISS; bilingual ready,nlp/nlp_notebooks/nlp-11-e5-base-v2.ipynb,TODO,planned
nlp,BAAI/bge-small-en,BGE Small EN,Search embeddings lightweight,transformers,CPU/GPU/MLX,<4GB,CPU friendly; add normalization step,nlp/nlp_notebooks/nlp-12-bge-small-en.ipynb,TODO,planned
